latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-9.917,119.201,24.9,6.6,6.5,6.6,5101.154112,55.31,41,3,19,12,1986
-8.353,116.675,10,5,NA,5,5205.474497,16.57,23,11,2,4,1987
-7.737,115.997,42.4,5.3,NA,5.3,5243.02581,10.02,37,0,10,5,1987
-10.217,117.955,27.2,5.1,NA,5.1,5292.17292,0.33,9,4,28,6,1987
-9.169,114.61,46,6.3,6,6.3,5464.849287,58.36,22,20,17,12,1987
-8.186,118.933,23.8,5.8,5.2,5.8,5559.553907,37.58,17,13,21,3,1988
-8.226,118.972,33,5.3,NA,5.3,5559.635893,41.15,15,15,21,3,1988
-9.462,119.248,33,5,NA,5,5705.748348,37.31,57,17,14,8,1988
-9.467,117.355,66.9,5.9,5.4,5.9,5706.600979,24.62,25,14,15,8,1988
-8.228,116.02,33,5.1,NA,5.1,5806.223914,26.15,22,5,23,11,1988
-10.145,119.039,33,5,NA,5,5944.872047,44.86,55,20,10,4,1989
-10.379,119.53,33,5.1,NA,5.1,6011.092285,53.41,12,2,16,6,1989
-7.974,118.969,33,5,NA,5,6133.759563,46.21,13,18,16,10,1989
-10.171,117.826,36.3,5.8,5.3,5.8,6222.835902,41.92,3,20,13,1,1990
-10.991,119.474,33,5,NA,5,6274.642409,4.18,25,15,6,3,1990
-9.503,119.746,33.8,5,NA,5,6366.991465,42.54,47,23,6,6,1990
-9.481,117.414,33,5,NA,5,6626.443639,50.44,38,10,21,2,1991
-9.499,115.639,33,5.4,NA,5.4,6644.072879,56.78,44,1,11,3,1991
-9.35,119.742,33,5,NA,5,6690.668522,40.29,2,16,26,4,1991
-9.958,119.89,33,5.3,NA,5.3,6705.832639,0.02,59,19,11,5,1991
-9.941,119.78,20.8,6,5.5,6,6711.276239,47.01,37,6,17,5,1991
-9.585,114.673,53.7,6.3,6.1,6.3,6760.188108,52.55,30,4,5,7,1991
-10.553,117.161,50.2,5.9,5.4,5.9,6854.8308,21.14,56,19,7,10,1991
-9.633,119.806,45.8,5.2,NA,5.2,6863.129339,14.9,6,3,16,10,1991
-10.128,118.989,31.7,5.4,NA,5.4,7027.63368,29.96,12,15,29,3,1992
-8.345,114.734,17.2,5.2,NA,5.2,7028.571032,17.14,42,13,30,3,1992
-9.777,117.027,38,5.1,NA,5.1,7076.571558,2.58,43,13,17,5,1992
-10.022,117.093,26.9,6,5.6,6,7230.040346,5.88,58,0,18,10,1992
-8.391,119.894,40.8,5,NA,5,7278.101956,49,26,2,5,12,1992
-7.866,116.463,35.8,5,NA,5,7289.213871,58.48,7,5,16,12,1992
-8.083,117.901,32,5,NA,5,7488.009822,8.61,14,0,2,7,1993
-8.192,117.881,24,5.2,NA,5.2,7565.88913,20.82,20,21,17,9,1993
-10.926,116.151,33,5.1,NA,5.1,7679.122889,57.59,56,2,9,1,1994
-10.12,118.899,25.7,5.2,NA,5.2,7716.987304,43.07,41,23,15,2,1994
-8.148,119.957,33,5,NA,5,7721.237455,56.11,41,5,20,2,1994
-8.522,118.244,33,5.1,NA,5.1,7755.632494,47.47,10,15,26,3,1994
-9.421,114.333,33,5.4,NA,5.4,7824.569031,24.3,39,13,3,6,1994
-10.273,114.154,33,5.1,NA,5.1,7826.841137,14.23,11,20,5,6,1994
-10.422,117.005,48.6,5.1,NA,5.1,7884.317972,52.82,37,7,2,8,1994
-10.271,119.978,25.8,5.8,5.2,5.8,7889.244764,27.61,52,5,7,8,1994
-8.297,116.763,33,5,NA,5,7950.976832,38.27,26,23,7,10,1994
-9.975,119.199,25.9,6,5.6,6,8016.620061,53.31,52,14,12,12,1994
-9.897,118.915,33,6.1,5.7,6.1,8160.542841,41.47,1,13,5,5,1995
-10.478,119.031,33,5.8,5.3,5.8,8319.824374,5.88,47,19,11,10,1995
-8.655,114.675,33,5.1,NA,5.1,8602.989293,34.89,44,23,20,7,1996
-9.785,118.002,53.8,5.9,5.4,5.9,8619.418543,42.11,2,10,6,10,1996
-9.641,119.51,33,6.2,5.9,6.2,8807.80934,26.94,25,19,10,2,1997
-7.842,117.635,33,5.7,5.1,5.7,8828.754616,38.79,6,18,3,3,1997
-9.909,119.119,26.6,5.1,NA,5.1,9161.126964,49.68,2,3,30,3,1998
-8.115,117.826,33,5.9,5.4,5.9,9516.720237,8.47,17,17,20,2,1999
-8.293,116.071,33,5.9,5.4,5.9,9867.18887,58.35,31,4,6,1,2000
-8.156,118.963,33,5,NA,5,9953.677451,31.8,15,16,1,4,2000
-9.974,119.378,33,6.2,5.9,6.2,10142.49839,40.94,57,11,7,10,2000
-9.708,119.075,33,6.3,6,6.3,10165.50105,30.76,1,12,30,10,2000
-8.138,117.94,33,5.2,NA,5.2,10224.67045,26.88,5,16,28,12,2000
-9.285,118.616,28.8,6.2,5.9,6.2,10797.12854,5.54,5,3,24,7,2002
-8.197,118.341,10,6.5,6.3,6.5,10871.65733,33.01,46,15,6,10,2002
-8.169,118.254,10,5,NA,5,10871.68296,28.15,23,16,6,10,2002
-8.172,118.336,10,5.1,NA,5.1,10871.68542,0.65,27,16,6,10,2002
-8.189,118.4,33,5.8,5.2,5.8,10883.34064,30.9,10,8,18,10,2002
-8.651,119.274,33,5.8,5.3,5.8,10907.31298,41.22,30,7,11,11,2002
-9.542,117.28,59.5,5.7,5.1,5.7,10917.70599,37.61,56,16,21,11,2002
-8.747,117.788,41.3,6,5.5,6,10960.06543,13.37,34,1,3,1,2003
-8.807,118.524,33,6,5.5,6,10980.00582,22.85,8,0,23,1,2003
-7.27,114.521,48.4,5.8,5.2,5.8,11012.44425,43.35,39,10,24,2,2003
-10.211,117.185,33.6,6,5.6,6,11036.68971,10.85,33,16,20,3,2003
-10.321,117.05,33,5.6,5,5.6,11067.71891,13.47,15,17,20,3,2003
-9.826,119.015,33,5,NA,5,11182.69318,10.71,38,16,13,8,2003
-9.595,118.474,10,5,NA,5,11222.30517,26.74,19,7,22,9,2003
-8.31,115.788,44.5,6.2,5.8,6.2,11323.87467,31.91,59,20,1,1,2004
-9.456,118.004,38.8,5.6,5,5.6,11585.48074,15.51,32,11,19,9,2004
-9.501,114.3,61.9,5.7,5.1,5.7,11610.17297,4.42,9,4,14,10,2004
-10.537,115.205,26.5,5,NA,5,11803.33895,5.05,8,8,25,4,2005
-8.356,117.56,26.6,5.7,5.1,5.7,11824.14435,51.64,27,3,16,5,2005
-8.315,117.512,41.7,5.8,5.3,5.8,11855.96669,2.38,12,23,16,5,2005
-9.3,119.103,30,5.6,5,5.6,11936.08362,24.39,0,2,5,9,2005
-9.36,117.361,25,5.8,5.3,5.8,11981.96942,57.49,15,23,20,10,2005
-9.109,119.774,10,5.1,NA,5.1,12023.13597,47.91,15,3,1,12,2005
-8.261,118.753,19,6.5,6.3,6.5,12419.58454,44.26,1,14,1,12,2006
-9.005,118.818,25,5.7,5.1,5.7,12457.68778,24.29,30,16,8,2,2007
-8.128,117.863,10,6,5.6,6,12490.37898,43.86,5,9,13,3,2007
-9.553,118.797,37.9,6,5.6,6,12562.04613,25.53,6,1,24,5,2007
-9.366,117.779,57.9,5.6,5,5.6,12564.25513,23.66,7,6,26,5,2007
-10.378,117.006,35,6.1,5.7,6.1,12681.39535,18.1,29,9,20,9,2007
-8.285,116.811,10,6.1,5.7,6.1,12695.60319,35.69,28,14,4,10,2007
-8.292,118.37,20,6.6,6.5,6.6,12747.66824,15.75,2,16,25,11,2007
-8.224,118.467,18,6.6,6.5,6.6,12747.82854,5.47,53,19,25,11,2007
-8.246,118.607,32.8,5.9,5.4,5.9,12748.10553,57.68,31,2,26,11,2007
-8.214,118.694,35,5.8,5.3,5.8,12748.34368,54.38,14,8,26,11,2007
-8.131,117.665,30.7,6.2,5.9,6.2,13002.94518,3.74,41,22,6,8,2008
-8.166,117.809,32.6,5,NA,5,13003.15721,22.71,46,3,7,8,2008
-10.248,118.459,49.3,5.2,NA,5.2,13148.75654,24.77,9,18,30,12,2008
-7.748,118.687,38.4,5,NA,5,13163.46479,18.07,9,11,14,1,2009
-10.685,115.025,30.9,5.1,NA,5.1,13169.52401,34.05,34,12,20,1,2009
-7.686,117.2,17,6,5.5,6,13314.15,0.07,36,3,14,6,2009
-9.139,119.32,65,6.2,5.9,6.2,13343.45301,19.95,52,10,13,7,2009
-8.847,117.792,30.6,5.8,5.2,5.8,13350.15112,36.34,37,3,20,7,2009
-9.962,118.752,18.3,5.7,5.1,5.7,13361.00379,27.15,5,0,31,7,2009
-9.896,118.793,35,6,5.6,6,13446.87142,50.84,54,20,24,10,2009
-10.04,118.685,17.4,5,NA,5,13446.8781,27.73,4,21,24,10,2009
-8.207,118.631,18,6.7,6.6,6.7,13461.82064,43.36,41,19,8,11,2009
-7.954,118.981,35,5.6,5,5.6,13464.91756,16.88,1,22,11,11,2009
-10.435,118.848,35,5.7,5.1,5.7,13481.00321,36.98,4,0,28,11,2009
-10.403,118.885,15,6.3,6,6.3,13481.25303,22.2,4,6,28,11,2009
-7.89,118.944,10,5,NA,5,13489.2808,20.88,44,6,6,12,2009
-8.971,117.432,44.9,5.6,5,5.6,13604.258,30.94,11,6,31,3,2010
-8.966,117.465,44.7,5.7,5.1,5.7,13635.69089,52.48,34,16,1,5,2010
-8.085,118.259,12,6.2,5.9,6.2,13642.14039,9.65,22,3,8,5,2010
-7.528,119.718,49.2,5,NA,5,13651.41066,20.6,51,9,17,5,2010
-8.275,118.584,40.4,5.7,5.1,5.7,13711.24019,52.54,45,5,16,7,2010
-8.234,118.591,47.6,5.6,5,5.6,13711.24892,26.42,58,5,16,7,2010
-9.587,117.82,46.2,5.8,5.2,5.8,14143.82813,30.71,52,19,21,9,2011
-9.35,114.587,39,6.3,6.1,6.3,14165.13646,30.16,16,3,13,10,2011
-10.369,116.013,7,5.1,NA,5.1,14271.71974,25.93,16,17,27,1,2012
-8.304,119.938,61.2,5.2,NA,5.2,14423.5396,1.34,57,12,27,6,2012
-7.947,117.614,35,5.3,NA,5.3,14558.63045,51.05,7,15,9,11,2012
-8.305,116.058,46.5,5.1,NA,5.1,14783.23796,39.82,42,5,22,6,2013
-8.315,117.165,33.5,5,NA,5,14809.65499,10.94,43,15,18,7,2013
-10.5342,114.3361,10,5.1,NA,5.1,14844.7907,36.72,58,18,22,8,2013
-9.8648,115.9595,39.88,5.2,NA,5.2,14876.63397,55,12,15,23,9,2013
-8.9987,119.6285,37.56,5.1,NA,5.1,14914.02361,0.17,34,0,31,10,2013
-9.8174,117.9568,33.74,5,NA,5,15029.88976,15.39,21,21,23,2,2014
-9.653,114.2783,51.41,5,NA,5,15054.89792,0.06,33,21,20,3,2014
-8.1731,118.3035,10.26,5.1,NA,5.1,15552.93481,7.26,26,22,31,7,2015
-9.7758,115.9399,35.19,5.3,NA,5.3,15558.21238,49.93,5,5,6,8,2015
-10.8411,116.3414,34.44,5.1,NA,5.1,15581.83503,26.65,2,20,29,8,2015
-10.3314,119.4196,19.68,5.2,NA,5.2,15731.91662,56.26,59,21,26,1,2016
-9.6338,119.4013,28,6.5,6.3,6.5,15748.41833,24.05,2,10,12,2,2016
-10.3268,119.2173,49.24,5,NA,5,15889.39509,55.49,28,9,2,7,2016
-8.1935,117.8136,21,6,5.6,6,15918.98613,1.88,40,23,31,7,2016
-9.6475,119.9051,48.88,5.9,5.4,5.9,15930.76403,12.23,20,18,12,8,2016
-8.2566,119.3116,17.38,5.2,NA,5.2,16265.60454,32.67,30,14,13,7,2017
-10.1961,118.8822,10.84,5.3,NA,5.3,16334.68416,11.31,25,16,20,9,2017
-7.8355,118.8054,14.82,5.7,5.1,5.7,16467.0837,31.57,0,2,31,1,2018
-9.1493,118.4063,10,5.7,5.1,5.7,16584.80929,22.44,25,19,28,5,2018
-9.8852,118.9639,47.78,5.2,NA,5.2,16621.21861,47.48,14,5,4,7,2018
-8.2395,116.508,14,6.5,6.4,6.5,16645.94975,38.74,47,22,28,7,2018
-8.2204,116.4624,10,5.9,5.4,5.9,16645.96307,48.82,6,23,28,7,2018
-8.3133,116.4514,10.9,5.8,5.3,5.8,16646.07676,32.22,50,1,29,7,2018
-8.2581,116.4375,34,6.8,6.9,6.8,16653.49072,38.63,46,11,5,8,2018
-8.3608,116.0241,17.72,5.1,NA,5.1,16653.50236,24.19,3,12,5,8,2018
-8.358,116.1402,31.26,5.5,NA,5.5,16653.53467,55.25,49,12,5,8,2018
-8.2702,116.2412,10,5,NA,5,16653.70118,41.6,49,16,5,8,2018
-8.3667,116.3062,10,5.8,5.3,5.8,16654.01965,18.02,28,0,6,8,2018
-8.3988,116.0135,26.01,5.7,5.1,5.7,16654.66037,55.57,50,15,6,8,2018
-8.2479,116.364,22.5,5.8,5.3,5.8,16654.76481,19.2,21,18,6,8,2018
-8.3065,116.2304,15,6.2,5.9,6.2,16657.22607,32.38,25,5,9,8,2018
-8.4051,116.5772,10,5.4,NA,5.4,16667.17098,13.08,6,4,19,8,2018
-8.3366,116.5993,16,6.5,6.3,6.5,16667.17387,22.64,10,4,19,8,2018
-8.319,116.6272,21,6.8,6.9,6.8,16667.62254,27.49,56,14,19,8,2018
-8.2842,116.5942,10,5.6,NA,5.6,16667.62781,2.94,4,15,19,8,2018
-8.3511,116.5565,10,5.8,NA,5.8,16667.63652,35.24,16,15,19,8,2018
-8.391,116.5568,10,5.5,NA,5.5,16667.64513,58.88,28,15,19,8,2018
-8.415,116.8263,10,5,NA,5,16667.68134,7.46,21,16,19,8,2018
-8.377,116.8473,10,5.3,NA,5.3,16667.6928,37.71,37,16,19,8,2018
-8.3828,116.8883,10,5.2,NA,5.2,16667.76625,23.92,23,18,19,8,2018
-8.3232,116.6443,10,5.1,NA,5.1,16667.90984,10.12,50,21,19,8,2018
-8.3006,116.6994,6.18,5.2,NA,5.2,16668.06286,31.47,30,1,20,8,2018
-8.543,116.952,10,5.2,NA,5.2,16669.04821,25.16,9,1,21,8,2018
-8.422,116.9263,11.58,6,5.5,6,16673.7731,15.64,33,18,25,8,2018
-8.1302,116.4089,16.06,5.8,5.3,5.8,16681.01095,46.25,15,0,2,9,2018
-8.3429,116.9679,10,5,NA,5,16685.27997,9.07,43,6,6,9,2018
-8.3774,116.6363,26.4,5,NA,5,16686.7185,38.08,14,17,7,9,2018
-8.1224,116.5828,10,5,NA,5,16689.1599,15.56,50,3,10,9,2018
-8.1902,116.5118,10,5.6,5,5.6,16689.84889,24.28,22,20,10,9,2018
-8.361,116.8232,10,5.7,5.1,5.7,16716.74816,21.28,57,17,7,10,2018
-7.4525,114.4553,9,6.3,6,6.3,16719.7812,55.28,44,18,10,10,2018
-9.0392,115.4621,68.09,5,NA,5,16754.72467,31.72,23,17,14,11,2018
-8.3948,116.0135,12,6,5.5,6,16776.04359,46.33,2,1,6,12,2018
